adapt_UBM,delta,emo_rank,enrm_threshold,n_components,n_static,score_norm,spk_norm,test,test_std,train,train_std,tv_rank,utt_norm
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.820945945945946,0.030778491821434,1,0,75,NormalizationMethod.none
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.831081081081081,0.029452019888788,0.998873873873874,0.001950507666181,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.797297297297297,0.042733481894167,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.807432432432432,0.047176486634355,1,0,75,NormalizationMethod.none
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.817567567567568,0.024361832942324,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.804054054054054,0.027858821794714,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.831081081081081,0.029452019888788,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.817567567567568,0.024361832942324,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.804054054054054,0.027858821794714,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.831081081081081,0.02027027027027,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.834459459459459,0.014726009944394,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.834459459459459,0.014726009944394,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.831081081081081,0.029452019888788,0.998873873873874,0.001950507666181,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.831081081081081,0.029452019888788,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.831081081081081,0.006756756756757,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.831081081081081,0.02027027027027,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.831081081081081,0.006756756756757,1,0,75,NormalizationMethod.cmvn
